Va_Mag,Vb_Mag,Vc_Mag,Ia_Mag,Ib_Mag,Ic_Mag,Label
224.8278059,257.1523832,306.0,27459.8826,8037.667997,9556.775817,1
180.3446948,127.8702303,298.8431641,39550.82514,22271.77845,9338.234683,2
128.6010385,278.8313251,221.087747,33263.57157,8713.641178,35071.31573,3
34.17504335,25.7112499,174.2611751,35226.68572,26518.49386,26506.63333,4
64.01054019,29.35244135,221.087747,45400.0,30274.53493,30265.28168,5
299.1098832,299.1364457,298.8453868,9347.888123,9347.50785,9338.284431,0
0.609863587,0.627874757,0.608242799,104.0979446,100.2471406,161.2525827,0
0.518491108,0.605916202,0.548094653,885.7385707,889.8688838,901.2742607,1
0.595342181,0.627874757,0.600178804,61.80632138,100.2471406,37.71735082,0
0.518491108,0.054318922,0.548094653,56.94721669,785.086984,770.1681427,2
0.412305213,0.084683305,0.498858233,885.7385707,884.0954182,901.2742607,4
0.400749853,0.605916202,0.329135582,879.3420973,70.78808942,85.80016226,1
0.416930483,0.377572506,0.338184185,872.611973,889.8688838,57.78256476,3
0.410059123,0.082066419,0.330433838,885.0249428,883.3430531,900.0821273,4
7.722,7.722,7.722,11.539,11.539,11.539,4
15.919,15.919,15.919,9.718,9.718,9.718,4
21.787,21.787,21.787,8.356,8.356,8.356,4
26.106,26.106,26.106,7.305,7.305,7.305,4
29.355,29.355,29.355,6.471,6.471,6.471,4
31.835,31.835,31.835,5.794,5.794,5.794,4
33.74,33.74,33.74,5.233,5.233,5.233,4
35.201,35.201,35.201,4.761,4.761,4.761,4
36.306,36.306,36.306,4.356,4.356,4.356,4
37.116,37.116,37.116,4.005,4.005,4.005,4
37.673,37.673,37.673,3.697,3.697,3.697,4
38.006,38.006,38.006,3.423,3.423,3.423,4
38.134,38.134,38.134,3.178,3.178,3.178,4
38.067,38.067,38.067,2.955,2.955,2.955,4
37.807,37.807,37.807,2.75,2.75,2.75,4
37.35,37.35,37.35,2.56,2.56,2.56,4
36.685,36.685,36.685,2.382,2.382,2.382,4
35.794,35.794,35.794,2.214,2.214,2.214,4
34.648,34.648,34.648,2.051,2.051,2.051,4
33.207,33.207,33.207,1.893,1.893,1.893,4
