Va_peak,Va_rms2,Vb_peak,Vb_rms2,Vc_peak,Vc_rms2,Ia_peak,Ia_rms2,Ib_peak,Ib_rms2,Ic_peak,Ic_rms2,Fault
4361,4712329,4297,4610735,4106,4269367,4130,4226065,4329,4680829,4361,4818183,0
4361,4712329,4297,4610735,4106,4269367,4130,4226065,4329,4680829,4361,4818183,0
4361,4712329,4297,4610735,4106,4269367,4130,4226065,4329,4680829,4361,4818183,0
4361,4712329,4297,4610735,4106,4269367,4130,4226065,4329,4680829,4361,4818183,0
4361,4712329,4297,4610735,4106,4269367,4130,4226065,4329,4680829,4361,4818183,0
4361,4712329,4297,4610735,4106,4269367,4130,4226065,4329,4680829,4361,4818183,0
4361,4712329,4297,4610735,4106,4269367,4130,4226065,4329,4680829,4361,4818183,0
4361,4712329,4297,4610735,4106,4269367,4130,4226065,4329,4680829,4361,4818183,0
4361,4712329,4297,4610735,4106,4269367,4130,4226065,4329,4680829,4361,4818183,0
4361,4712329,4297,4610735,4106,4269367,4130,4226065,4329,4680829,4361,4818183,0
8032,10195735,8277,15769096,5601,6093927,7605,9400552,8329,15963345,5943,6861494,2
8045,10523382,8281,15780764,5601,6093926,7605,9401117,8329,15963968,5943,6861561,2
8045,10523137,8281,15780493,5601,6093721,7605,9401218,8329,15964512,5943,6861689,2
8045,10522801,8281,15780369,5601,6093658,7605,9401430,8330,15964740,5943,6861674,2
8045,10522649,8281,15779900,5601,6093614,7605,9401589,8330,15965253,5943,6861888,2
8045,10522414,8281,15779622,5601,6093538,7605,9401717,8330,15965397,5943,6861980,2
8045,10522191,8281,15779269,5601,6093438,7605,9401967,8330,15965493,5943,6862061,2
8045,10522060,8281,15778911,5601,6093427,7605,9402231,8330,15966166,5943,6862138,2
8044,10521880,8281,15778567,5601,6093189,7605,9402474,8330,15966490,5943,6862247,2
8044,10521710,8281,15778066,5601,6093154,7605,9402655,8330,15966786,5943,6862310,2
4361,4712351,4297,4613589,4106,4266783,4130,4226094,4329,4683719,4361,4815249,0
4361,4712351,4297,4613589,4106,4266783,4130,4226094,4329,4683719,4361,4815249,0
4361,4712351,4297,4613589,4106,4266783,4130,4226094,4329,4683719,4361,4815249,0
4361,4712351,4297,4613589,4106,4266783,4130,4226094,4329,4683719,4361,4815249,0
4361,4712351,4297,4613589,4106,4266783,4130,4226094,4329,4683719,4361,4815249,0
